CodAgrupSat;Cuenta;Descripcion;SubCuenta;Nivel;Nat
102;110;BANCOS;110-0000;1;D
102.01;110;BBVA BANCOMER CTA 017233473;110-0001;2;D
103;113;INVERSIONES;113-0000;1;D
103.03;113;BBVA BANCOMER CTO 13554873;113-0001;2;D
107;119;DEUDORES DIVERSOS;119-0000;1;D
107.05;119;DIVERSOS;119-0001;2;D
105;122;RENTAS POR COBRAR;122-0000;1;D
105.03;122;PAPEL,S.A. DE C.V.;122-0001;2;D
118;131;IVA ACREEDITABLE;131-0000;1;D
118.01;131;IVA ACREEDITABLE;131-0001;2;D
119;137;IVA PENDIENTE DE ACREEDITAR;137-0000;1;D
119.01;137;IVA PENDIENTE DE ACREEDITAR;137-0001;2;D
151;146;TERRENOS;146-0000;1;D
151.01;146;CALLE 4 # 194-A;146-0001;2;D
151.01;146;CALLE 4 # 194;146-0002;2;D
151.01;146;ACTUALIZACION TERRENOS;146-0003;2;D
152;149;EDIFICIOS;149-0000;1;D
152.01;149;CALLE 4 # 194-A;149-0001;2;D
152.01;149;CALLE 4 # 194;149-0002;2;D
152.01;149;ACTUALIZACION EDIFICIOS;149-0003;2;D
154;152;EQUIPO DE TRANSPORTE;152-0000;1;D
154.01;152;EQUIPO DE TRANSPORTE;152-0001;2;D
154.01;152;ACTUALIZACION EQUIPO DE TRANSPORTE;152-0002;2;D
171;164;DEPRECIACION ACUMLADA ACTIVOS FIJOS;164-0000;1;D
171.01;164;DEPRECIACION ACUMULADA EDIFICIOS;164-0001;2;D
171.01;164;ACTUALIZACION DEPRECIACION ACUM EDIFICIO;164-0002;2;D
171.03;164;DEPRECIACION ACUMULADA EQUIPO TRANSPORTE;164-0003;2;D
171.03;164;ACTUALIZACION  DEP ACUM EQUIPO TRANSPORT;164-0004;2;D
121;182;SEGUROS POR DEVENGAR;182-0000;1;D
121.01;182;PRIMA NETA;182-0001;2;D
121.01;182;INTERESES POR FINANCIAMIENTO;182-0002;2;D
213;210;IMPUESTOS POR PAGAR;210-0000;1;A
213.03;210;ISR PROVISIONAL;210-0001;2;A
213.03;210;ISR EJERCICIO;210-0002;2;A
213.01;210;IVA POR PAGAR;210-0003;2;A
208;216;IVA TRASLADADO COBRADO;216-0000;1;A
208.01;216;IVA TRASLADADO COBRADO;216-0001;2;A
209;217;IVA TRASLADADO PENDIENTE;217-0000;1;A
209.01;217;IVA TRASLADADO PENDIENTE;217-0001;2;A
205;222;ACREEDORES DIVERSOS;222-0000;1;A
205.02;222;GRUPO NACIONAL PROVINCIAL,S.A.B.;222-0001;2;A
301;300;CAPITAL SOCIAL;300-0000;1;A
301.01;300;CAPITAL SOCIAL FIJO;300-0001;2;A
301.02;300;CAPITAL SOCIAL VARIABLE;300-0002;2;A
301.01;300;ACTUALIZACION  CAPITAL;300-0003;2;A
303;306;RESERVA LEGAL;306-0000;1;A
303.01;306;RESERVA LEGAL;306-0001;2;A
303.01;306;ACTUALIZACION RESERVA LEGAL;306-0002;2;A
304;318;RESULTADO EJERCICIOS ANTERIORES;318-0000;1;A
304.01;318;RESULTADO EJERCICIO 2012;318-0001;2;A
304.01;318;RESULTADO EJERCICIO 2013;318-0002;2;A
304.01;318;RESULTADO EJERCICIO 2014;318-0003;2;A
401;400;INGRESOS POR ARRENDAMIENTO;400-0000;1;A
401.23;400;PAPEL,S.A. DE C.V.;400-0001;2;A
704;406;INGRESOS POR VENTA ACTIVO FIJO;406-0000;1;A
704.23;406;INGRESOS POR VENTA ACTIVO FIJO;406-0001;2;A
601;600;GASTOS GENERALES;600-0000;1;D
601.57;600;PRIMAS SEGUROS;600-0001;2;D
601.6;600;CUOTAS Y SUSCRIPCIONES;600-0002;2;D
601.83;600;NO DEDUCIBLES;600-0003;2;D
601.58;600;OTROS IMPUESTOS Y DERECHOS;600-0004;2;D
601.78;600;IMPUESTO PREDIAL;600-0005;2;D
601.56;600;MANTENIMIENTO EQUIPO TRANSPORTE;600-0006;2;D
601.38;600;RSM BOGARIN S.C.;600-0050;2;D
613;603;DEPRECIACION CONTABLE;603-0000;1;D
613.01;603;DEPRECIACION EDIFICIOS;603-0001;2;D
613.03;603;DEPRECIACION EQUIPO TRANSPORTE;603-0002;2;D
702;700;PRODUCTOS FINANCIEROS;700-0000;1;A
702.04;700;INTERESES BANCARIOS;700-0001;2;A
701;703;GASTOS FINANCIEROS;703-0000;1;D
701.11;703;INTERESES POR FINANCIAMIENTO;703-0001;2;D
701.1;703;COMISIONES BANCARIAS;703-0002;2;D
403;706;OTROS INGRESOS;706-0000;1;A
403.01;706;OTROS INGRESOS;706-0001;2;A
403.01;706;OTROS INGRESOS CONTABLES NO FISCALES;706-0002;2;A
114;750;IMPUESTOS  EJERCICIO;750-0000;1;D
114.01;750;ISR PROVISIONAL;750-0001;2;D
114.01;750;ISR BANCARIO;750-0002;2;D
802;802;CUFIN EJERCICIO;802-0000;1;D
802.01;802;CUFIN;802-0001;2;D
802.02;802;CONTRA CUENTA CUFIN;802-0002;2;D
803;803;CUFIN  EJERCICIOS ANTERIORES;803-0000;1;D
803.01;803;CUFIN  EJERCICIOS ANTERIORES;803-0001;2;D
803.02;803;CONTRA CUENTA CUFIN  EJERCICIOS ANTERIOR;803-0002;2;D
806;806;CUCA  EJERCICIO;806-0000;1;D
806.01;806;CUCA;806-0001;2;D
806.02;806;CONTRA CUENTA CUCA;806-0002;2;D
807;807;CUCA  EJERCICIOS ANTERIORES;807-0000;1;D
807.01;807;CUCA  EJERCICIOS ANTERIORES;807-0001;2;D
807.02;807;CONTRA CUENTA CUCA EJERCICIOS ANTERIORES;807-0002;2;D
